config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
A0,S6,18,0.776184916496277,1234444.4911956787,560715.9836769104,0.45422535211267606,2,True,1.0,A0/S6_seed18.zip
A0,S6,19,0.7816733121871949,1243173.2357025146,564680.8007240295,0.45422535211267606,2,True,1.0,A0/S6_seed19.zip
A0,S6,20,0.7896754145622255,1255899.7793197632,570461.5194797516,0.45422535211267606,2,True,1.0,A0/S6_seed20.zip
A0,S6,21,0.7920218110084535,1259631.4882278442,572156.5562725067,0.45422535211267606,2,True,1.0,A0/S6_seed21.zip
A0,S6,22,0.7750563621520997,1232649.6383666992,559900.7160186768,0.45422535211267606,2,True,1.0,A0/S6_seed22.zip
A0,S6,23,0.7442047595977784,1183583.2496643066,537613.5183334351,0.45422535211267606,2,True,1.0,A0/S6_seed23.zip
A0,S6,24,0.7587202787399293,1206668.7313079834,548099.5293617249,0.45422535211267606,2,True,1.0,A0/S6_seed24.zip
A0,S6,25,0.7190912365913391,1143642.7026748657,519471.5093135832,0.4542253521126759,2,True,1.0,A0/S6_seed25.zip
A0,S6,26,0.760782539844513,1209948.5513687134,549589.3067836761,0.45422535211267606,2,True,1.0,A0/S6_seed26.zip
A0,S6,27,0.766290307044983,1218708.1043243408,553568.1178092957,0.45422535211267606,2,True,1.0,A0/S6_seed27.zip
A0,S6,28,0.7037287950515747,1119210.2756500244,508373.6815452574,0.4542253521126759,2,True,1.0,A0/S6_seed28.zip
A0,S6,29,0.7805216908454896,1241341.6971206665,563848.8694667816,0.45422535211267606,2,True,1.0,A0/S6_seed29.zip
A0,S7,0,0.9155365228652954,645140.2531685482,635878.4496245731,0.985643736383699,2,True,1.0,A0/S7_seed0.zip
A0,S7,1,0.8679818511009215,653669.8717586822,560810.3343017271,0.857941230781956,2,True,1.0,A0/S7_seed1.zip
A0,S7,2,0.8283934593200684,618634.6626983775,540453.4655822621,0.8736229929711619,2,True,1.0,A0/S7_seed2.zip
A0,S7,3,0.8801005482673645,628864.1928031705,602572.4943325259,0.9581917705419843,2,True,1.0,A0/S7_seed3.zip
A0,S7,4,0.9007852673530579,605279.0708333353,655099.6752470632,0.9239495815733101,2,True,1.0,A0/S7_seed4.zip
A0,S7,5,0.8814173936843872,688519.6308605155,544759.5863826791,0.7912041457726275,2,True,1.0,A0/S7_seed5.zip
A0,S7,6,0.8433904051780701,643968.3891471622,536103.4657779934,0.8324996611836502,2,True,1.0,A0/S7_seed6.zip
A0,S7,7,0.9002174735069275,616163.0650341373,643421.2238967556,0.9576355925943282,2,True,1.0,A0/S7_seed7.zip
A0,S7,8,0.8250023722648621,649441.8674468994,504901.4518260956,0.7774390243902439,2,True,1.0,A0/S7_seed8.zip
A0,S7,9,0.8270277380943298,638662.7741492356,518514.4369923508,0.8118751522398739,2,True,1.0,A0/S7_seed9.zip
A0,S7,10,0.7900859117507935,613687.7934527786,491800.4142689315,0.8013853616053291,2,True,1.0,A0/S7_seed10.zip
A0,S7,11,0.8630658984184265,679405.4752349854,528196.329832077,0.7774390243902439,2,True,1.0,A0/S7_seed11.zip
A0,S7,12,0.8791283965110779,670837.8166860978,559238.6357122024,0.8336420842742743,2,True,1.0,A0/S7_seed12.zip
A0,S7,13,0.9269866943359374,616360.7252491922,680679.0574656513,0.9055085777782949,2,True,1.0,A0/S7_seed13.zip
A0,S7,14,0.827583372592926,651473.6309051514,506481.0240268707,0.7774390243902439,2,True,1.0,A0/S7_seed14.zip
A0,S7,15,0.8417842984199524,662652.5997161865,515171.99063301086,0.7774390243902439,6,True,1.0,A0/S7_seed15.zip
A0,S7,16,0.9470134973526001,666322.6568814601,658738.628614298,0.9886180843637267,2,True,1.0,A0/S7_seed16.zip
A0,S7,17,0.9036511182785034,645185.3220154591,619203.3226798229,0.9597294010742955,2,True,1.0,A0/S7_seed17.zip
A0,S7,18,0.8928599953651428,630507.6227503528,618782.082764555,0.981403016295585,2,True,1.0,A0/S7_seed18.zip
A0,S7,19,0.8666338324546814,636720.5225912861,575873.5357793041,0.9044369002520116,2,True,1.0,A0/S7_seed19.zip
A0,S7,20,0.8479411005973816,667499.2343902588,518939.95356559753,0.7774390243902439,2,True,1.0,A0/S7_seed20.zip
A0,S7,21,0.856044590473175,673878.3016204834,523899.28936958313,0.7774390243902439,2,True,1.0,A0/S7_seed21.zip
A0,S7,22,0.8516575098037719,632500.8192857963,559138.3684316413,0.8840120856491634,2,True,1.0,A0/S7_seed22.zip
A0,S7,23,0.8594405651092529,606115.005527924,596414.2331729427,0.983995162194456,2,True,1.0,A0/S7_seed23.zip
A0,S7,24,0.8426012396812439,649326.6149254633,529641.0396365331,0.8156773917196214,2,True,1.0,A0/S7_seed24.zip
A0,S7,25,0.8758604526519775,645464.1339649443,580039.8113857027,0.8986398792178362,2,True,1.0,A0/S7_seed25.zip
A0,S7,26,0.8587892055511475,605313.7599643864,596304.0964427793,0.9851157133415617,2,True,1.0,A0/S7_seed26.zip
A0,S7,27,0.9418324828147888,654899.0790010069,662912.9309534456,0.9879111545751377,2,True,1.0,A0/S7_seed27.zip
A0,S7,28,0.8218690752983093,646975.3360748291,502983.8740825653,0.7774390243902439,2,True,1.0,A0/S7_seed28.zip
A0,S7,29,0.8737286329269409,622169.19834708,600351.9048442957,0.9649335043252766,2,True,1.0,A0/S7_seed29.zip
