config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
D_FW3,S2,3,0.8441462516784668,213572.20068913684,253316.64965170636,0.8431036845891668,2,True,1.0,D_FW3/S2_seed3.zip
D_FW3,S2,4,0.9239650964736938,213237.52686850415,297798.32834013115,0.7160467557257552,4,True,1.0,D_FW3/S2_seed4.zip
D_FW3,S2,5,0.8591370582580566,215443.88375321229,259736.23179873626,0.8294718155461458,2,True,1.0,D_FW3/S2_seed5.zip
D_FW3,S2,6,0.8895038962364197,216239.52047090113,275736.18949850026,0.7842261143312029,2,True,1.0,D_FW3/S2_seed6.zip
D_FW3,S2,7,0.8981490731239319,209793.62311167544,286963.64774244005,0.7310808346706428,2,True,1.0,D_FW3/S2_seed7.zip
D_FW3,S2,8,0.8439016342163086,203213.61965676973,263539.9352119284,0.7710923184881012,2,True,1.0,D_FW3/S2_seed8.zip
D_FW3,S2,9,0.8937196135520935,202976.69539526786,291330.68566425954,0.6967226776419496,2,True,1.0,D_FW3/S2_seed9.zip
D_FW3,S2,10,0.8931862711906433,205404.58449192252,288607.8102409104,0.7117083363768448,6,True,1.0,D_FW3/S2_seed10.zip
D_FW3,S2,11,0.8577885627746582,197919.1489466897,276515.127238346,0.7157624645109948,2,True,1.0,D_FW3/S2_seed11.zip
D_FW3,S2,12,0.8588012456893921,220438.85022293503,254555.53075541084,0.8659754889974997,2,True,1.0,D_FW3/S2_seed12.zip
D_FW3,S2,13,0.8254813551902771,213966.678622936,242598.80411925438,0.8819774664583936,2,True,1.0,D_FW3/S2_seed13.zip
D_FW3,S2,14,0.904811680316925,211736.04538427584,288706.24688221223,0.7333961342050941,4,True,1.0,D_FW3/S2_seed14.zip
D_FW3,S2,15,0.820877730846405,188211.5558656639,265807.7082881743,0.7080741076989948,2,True,1.0,D_FW3/S2_seed15.zip
D_FW3,S2,16,0.8566890358924866,202356.3472651216,271469.79159665375,0.7454101838549317,2,True,1.0,D_FW3/S2_seed16.zip
D_FW3,S2,17,0.8862563967704773,220255.17446866323,269924.37602112006,0.8159884546752808,3,True,1.0,D_FW3/S2_seed17.zip
D_FW3,S2,18,0.8697870969772339,195612.40634209572,285458.1391250426,0.685257764734497,2,True,1.0,D_FW3/S2_seed18.zip
D_FW3,S2,19,0.8227003216743469,207792.21295352478,247235.10796133976,0.8404640209351552,3,True,1.0,D_FW3/S2_seed19.zip
D_FW3,S2,20,0.9461535811424256,220138.907013823,303169.1771802412,0.7261256208870639,6,True,1.0,D_FW3/S2_seed20.zip
D_FW3,S2,21,0.8426687717437744,202338.75201211902,263732.9189516452,0.7672108313836145,2,True,1.0,D_FW3/S2_seed21.zip
D_FW3,S2,22,0.9203049540519714,217004.47331090612,292006.99372569873,0.7431482052609758,4,True,1.0,D_FW3/S2_seed22.zip
D_FW3,S2,23,0.8509030342102051,203224.50694537337,267401.45224594895,0.7599977682935418,2,True,1.0,D_FW3/S2_seed23.zip
D_FW3,S2,24,0.8487972021102905,207276.63971631767,262184.6047988629,0.7905751746000935,2,True,1.0,D_FW3/S2_seed24.zip
D_FW3,S2,25,0.8481358289718628,204709.34008216314,264386.1055638844,0.7742817635804189,2,True,1.0,D_FW3/S2_seed25.zip
D_FW3,S2,26,0.8578854203224182,201748.95825810745,272738.8888680188,0.73971467397059,2,True,1.0,D_FW3/S2_seed26.zip
