bonus_scale,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
0.0,S3,2,0.8159068822860719,220131.67684078217,99989.3884241581,0.45422535211267606,11,True,1.0,D_BONUS0/S3_seed2.zip
0.0,S3,3,0.7937487363815308,209138.7491311359,102288.56758815763,0.48909428794574933,8,True,1.0,D_BONUS0/S3_seed3.zip
0.0,S3,4,0.7914129495620729,184342.4832671603,126168.38749351892,0.6844238249230263,8,True,1.0,D_BONUS0/S3_seed4.zip
0.0,S3,5,0.8222120404243474,209756.97488489337,112837.91917559924,0.5379459693176849,9,True,1.0,D_BONUS0/S3_seed5.zip
0.0,S3,6,0.8334010243415834,224851.59636735916,102133.29553306103,0.45422535211267606,9,True,1.0,D_BONUS0/S3_seed6.zip
0.0,S3,7,0.8452448248863221,227775.0509145463,103856.75612960216,0.45596194891672265,10,True,1.0,D_BONUS0/S3_seed7.zip
0.0,S3,8,0.8505110144615174,229467.87170171738,104230.12482225895,0.45422535211267606,11,True,1.0,D_BONUS0/S3_seed8.zip
0.0,S3,9,0.8372225761413575,225882.65104293823,102601.62670612335,0.45422535211267606,10,True,1.0,D_BONUS0/S3_seed9.zip
0.25,S1,0,0.8067847490310671,49504.5084885514,397333.2247623051,0.12459191782455704,6,True,1.0,D_BONUS0.25/S1_seed0.zip
0.25,S1,1,0.7443445324897765,60199.95821131005,352055.2611081527,0.1709957636247806,2,True,1.0,D_BONUS0.25/S1_seed1.zip
0.25,S1,2,0.7959486246109007,93378.89425745935,347457.251483288,0.2687493032850134,10,True,1.0,D_BONUS0.25/S1_seed2.zip
0.25,S1,3,0.7789124250411988,87105.53375309163,344295.11285597633,0.2529967185143553,12,True,1.0,D_BONUS0.25/S1_seed3.zip
0.25,S1,4,0.7806649208068845,70083.80640807141,362287.4599808216,0.19344806031039946,2,True,1.0,D_BONUS0.25/S1_seed4.zip
0.25,S1,5,0.7837477922439571,75547.57576965445,358531.1389646612,0.21071412649906762,10,True,1.0,D_BONUS0.25/S1_seed5.zip
0.25,S1,6,0.7715974450111389,80852.6923608253,346496.552558594,0.23334342510421577,2,True,1.0,D_BONUS0.25/S1_seed6.zip
0.25,S1,7,0.7718391418457027,70445.319616803,357037.7890944395,0.19730494017306835,2,True,1.0,D_BONUS0.25/S1_seed7.zip
0.25,S1,8,0.7366068363189698,61802.33115552754,346167.3651397339,0.17853309519971755,2,True,1.0,D_BONUS0.25/S1_seed8.zip
0.25,S1,9,0.8116613030433658,70225.9517017048,379312.6609888633,0.18514001488541576,8,True,1.0,D_BONUS0.25/S1_seed9.zip
0.25,S2,0,0.7804628610610964,51590.92006329711,380075.2837609847,0.13573868722213675,2,True,1.0,D_BONUS0.25/S2_seed0.zip
0.25,S2,1,0.7546185255050658,67004.31423022582,350367.64604137104,0.19124001598684728,8,True,1.0,D_BONUS0.25/S2_seed1.zip
0.25,S2,2,0.7930484414100645,86748.23713917253,351878.92532032006,0.24652865203622096,10,True,1.0,D_BONUS0.25/S2_seed2.zip
0.25,S2,3,0.7726568579673767,85557.39745066679,341791.3841225096,0.2503205213037204,12,True,1.0,D_BONUS0.25/S2_seed3.zip
0.25,S2,4,0.7861682176589964,69557.81711603815,365263.9623889761,0.19043164472372653,2,True,1.0,D_BONUS0.25/S2_seed4.zip
0.25,S2,5,0.772611677646637,73656.63019273253,353667.1625968459,0.20826539182178921,10,True,1.0,D_BONUS0.25/S2_seed5.zip
0.25,S2,6,0.7704460620880129,78979.63558228352,347146.3768979755,0.2275110467464138,2,True,1.0,D_BONUS0.25/S2_seed6.zip
0.25,S2,7,0.7635031938552859,63734.94639324102,358551.03509617905,0.17775697224286244,2,True,1.0,D_BONUS0.25/S2_seed7.zip
0.25,S2,8,0.7233768105506895,60236.81347192413,339855.66667555674,0.1772423395530115,2,True,1.0,D_BONUS0.25/S2_seed8.zip
0.25,S2,9,0.812716007232666,67890.35163622169,381614.74480409356,0.17790285244631737,6,True,1.0,D_BONUS0.25/S2_seed9.zip
0.25,S3,0,0.7963545918464661,25534.67443011309,286915.0496808478,0.08899733373525294,8,True,1.0,D_BONUS0.25/S3_seed0.zip
0.25,S3,1,0.6927061676979063,32172.34655629429,239610.91833997922,0.1342691175309699,5,True,1.0,D_BONUS0.25/S3_seed1.zip
0.25,S3,2,0.7369400262832646,41095.73242044682,248042.68689179196,0.165680080857916,11,True,1.0,D_BONUS0.25/S3_seed2.zip
0.25,S3,3,0.7192397117614746,46482.043382052085,235711.6575275624,0.19719874642439703,12,True,1.0,D_BONUS0.25/S3_seed3.zip
0.25,S3,4,0.7040808796882629,33807.6156382773,242438.5175074126,0.13944820313976564,2,True,1.0,D_BONUS0.25/S3_seed4.zip
0.25,S3,5,0.7516080141067507,42028.879766423415,252864.52456836018,0.16621105644679382,10,True,1.0,D_BONUS0.25/S3_seed5.zip
0.25,S3,6,0.7409546971321108,37887.637753637646,252825.937666146,0.14985660926794572,6,True,1.0,D_BONUS0.25/S3_seed6.zip
0.25,S3,7,0.73786598443985,36497.06331553774,253004.65567943733,0.1442545126986926,6,True,1.0,D_BONUS0.25/S3_seed7.zip
0.25,S3,8,0.6844061017036438,26250.168768476567,242276.56523494804,0.10834794831691803,2,True,1.0,D_BONUS0.25/S3_seed8.zip
0.25,S3,9,0.7705333828926088,30354.870807117677,271963.90197079733,0.11161360234630363,8,True,1.0,D_BONUS0.25/S3_seed9.zip
0.5,S1,0,0.7478508353233337,-8525.499522686005,422722.6846665144,0.010186757215619692,9,True,1.0,D_BONUS0.5/S1_seed0.zip
0.5,S1,1,0.685710072517395,-7817.094826698303,387597.61849045753,0.010186757215619692,10,True,1.0,D_BONUS0.5/S1_seed1.zip
0.5,S1,2,0.6876479983329773,-7839.187180995941,388693.0310577154,0.010186757215619692,11,True,1.0,D_BONUS0.5/S1_seed2.zip
0.5,S1,3,0.6672431826591492,-7606.5722823143005,377159.20899808407,0.010186757215619692,5,True,1.0,D_BONUS0.5/S1_seed3.zip
0.5,S1,4,0.6997531652450562,-7977.18608379364,395535.476654768,0.010186757215619692,11,True,1.0,D_BONUS0.5/S1_seed4.zip
0.5,S1,5,0.6881774663925171,-7845.223116874695,388992.3128783703,0.010186757215619692,8,True,1.0,D_BONUS0.5/S1_seed5.zip
