job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user
96648,1.0,643814,6.0,0.25,MISC,346,e8f0049b4ca6
96649,1.0,643826,6.0,0.25,MISC,849,05b25af4dd8b
96650,1.0,643827,1.0,1.0,T4,54,803352220e28
96651,1.0,643830,6.0,0.25,MISC,49,05b25af4dd8b
96652,1.0,643852,6.0,1.0,MISC,10034,77e940954ff6
96653,1.0,643858,6.0,0.0,CPU,179,4fa163b45052
96654,1.0,643860,6.0,0.2,MISC,160,4fa163b45052
96655,1.0,643868,6.0,0.25,MISC,3464,58540f191766
96656,4.0,643874,6.0,0.0,CPU,4828,de69ddc1064e
96657,30.0,643877,6.0,0.25,MISC,4774,de69ddc1064e
96658,1.0,643880,6.0,0.25,MISC,1589,e8f0049b4ca6
96659,1.0,643887,6.0,2.0,T4,557,a58540410e7b
96660,1.0,643892,6.0,0.25,MISC,3481,58540f191766
96661,1.0,643893,6.0,0.25,MISC,48,05b25af4dd8b
96662,1.0,643910,6.0,0.25,MISC,3448,58540f191766
96663,20.0,643923,6.0,0.0,CPU,19758,d7052eeddab7
96664,1.0,643926,6.0,1.0,MISC,34,354e3b81c515
96665,60.0,643930,6.0,1.0,MISC,19693,d7052eeddab7
96666,1.0,643936,6.0,0.25,MISC,177,5b1345f03aa1
96667,32.0,643936,1.0,0.01,T4,51,57857b193e49
96668,1.0,643936,6.0,0.25,MISC,57,05b25af4dd8b
96669,1.0,643937,6.0,0.25,MISC,3435,58540f191766
96670,1.0,643961,6.0,0.25,MISC,175,5b1345f03aa1
96671,10.0,643968,1.0,0.0,CPU,9373,b3bfe9b79bb5
96672,1.0,643970,6.0,0.25,MISC,3514,58540f191766
96673,200.0,643972,4.0,0.5,MISC,9318,b3bfe9b79bb5
96674,1.0,643988,1.0,0.0,CPU,741,02919b91cc08
96675,1.0,643995,6.0,0.25,MISC,3448,58540f191766
96676,1.0,644004,6.0,0.5,MISC,373,5b1345f03aa1
96677,1.0,644004,6.0,0.25,MISC,3896,58540f191766
96678,1.0,644013,2.0,0.0,CPU,35,d4d51aca8806
96679,12.0,644016,6.0,0.25,T4,13045,d4d51aca8806
96680,1.0,644021,6.0,0.25,MISC,3636,58540f191766
96681,1.0,644028,6.0,0.0,CPU,395,b2c52019b2c6
