config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
A0,6,S2,1.0,0.0,2.0,236856.41911268234,184591.6469246149,0.7793398533007335,0.7619882226522676
A0,6,S3,1.0,0.0,2.0,183483.71764421463,83342.95625388622,0.45422535211267606,0.6800730824945664
A0,6,S4,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,6,S5,1.0,0.0,9.0,1612583.3508026127,1256750.4720497131,0.7793398533007334,0.7938842177945703
A0,6,S6,1.0,0.0,2.0,1083419.0105438232,492116.38154983503,0.4542253521126759,0.6812242269991929
A0,6,S7,1.0,0.0,2.0,477391.72450706415,508608.5767109687,0.938623032262304,0.7046886086956264
A0,6,S8,1.0,0.0,2.0,7826762.579865703,14604582.046000712,0.5359114389726046,0.7862977386070286
A0,6,S9,1.0,0.0,2.0,980977.600479126,445584.89599227905,0.45422535211267606,0.6168118715717192
A0,6,S_AIR_M,1.0,0.0,9.0,1612583.3508026127,1256750.4720497131,0.7793398533007334,0.7938842177945703
A0,7,S1,1.0,0.0,5.0,220392.7321434021,171341.91066026688,0.7774390243902439,0.7072937489050075
A0,7,S2,1.0,0.0,2.0,220895.5119120327,192447.35315509167,0.8712144103304832,0.7473338246867662
A0,7,S3,1.0,0.0,2.0,182883.40147733688,83070.27743160725,0.45422535211267606,0.6778480411049457
A0,7,S4,1.0,0.0,2.0,482855.42221069336,375390.64836502075,0.7774390243902439,0.6133834124039995
A0,7,S5,1.0,0.0,16.0,1943383.5031555172,1514556.2142562866,0.7793398533007335,0.9567390680981539
A0,7,S6,1.0,0.0,16.0,1278514.2234802246,580733.5733413696,0.45422535211267606,0.8038947582806516
A0,7,S7,1.0,0.0,2.0,547831.2194824219,425905.36880493164,0.7774390243902439,0.6959238052854377
A0,7,S8,1.0,0.0,2.0,8535542.85393549,14785676.751236191,0.5772845570441585,0.8174909949873818
A0,7,S9,1.0,0.0,13.0,1159115.0848388672,526499.4575500486,0.4542253521126759,0.7288198471578528
