config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
D,0,S7,1.0,0.0,18.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,0,S8,1.0,0.0,2.0,12230097.557997236,12398119.546568861,0.9864477844450117,0.8633058667786075
D,0,S9,1.0,0.0,11.0,1320511.5425109863,599809.8203659058,0.45422535211267606,0.8303015232666274
D,1,S1,1.0,0.0,16.0,-9986.789882183075,495178.33165824413,0.010186757215619692,0.876034200252704
D,1,S2,1.0,0.0,19.0,-12074.248352050781,561263.8882398605,0.010873258579680595,0.9929480553367086
D,1,S3,1.0,0.0,16.0,-14292.050647735596,383205.60799241066,0.01900237529691211,0.9402664900482983
D,1,S4,1.0,0.0,16.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,1,S5,1.0,0.0,12.0,1784070.8860961918,1390397.5426483154,0.7793398533007334,0.8783085346835557
D,1,S6,1.0,0.0,10.0,1320810.0526809692,599945.4112529755,0.45422535211267606,0.8304892182930382
D,1,S7,1.0,0.0,16.0,780163.948059082,606529.8986434937,0.7774390243902439,0.9910619259573029
D,1,S8,1.0,0.0,2.0,12143976.538815899,11725758.075019913,0.9655616541699314,0.8367183805096601
D,1,S9,1.0,0.0,9.0,1258888.104057312,571818.8923358917,0.45422535211267606,0.791554391439427
D,2,S1,1.0,0.0,15.0,-11400.0,565250.0,0.010186757215619692,1.0000000000698672
D,2,S2,1.0,0.0,13.0,-12160.0,565250.0,0.010873258579680595,1.0000000000698672
D,2,S3,1.0,0.0,13.0,-13797.7294921875,369951.62200927734,0.01900237529691211,0.9077453613915462
D,2,S4,0.0,1.0,20.0,726683.3963154552,636924.9901057484,0.8764821011945317,0.9745628834451638
D,2,S5,1.0,0.0,14.0,1892302.448247949,1640226.0874301507,0.8667885458525977,0.9773762226787581
D,2,S6,1.0,0.0,16.0,1527082.8552246094,693639.7476196289,0.45422535211267606,0.9601879120543885
D,2,S7,1.0,0.0,19.0,703619.8994636536,695580.1005363464,0.9885736618116747,1.000000000069866
D,2,S8,1.0,0.0,2.0,11055075.893420506,14886404.645424556,0.742629006582752,0.909340381685846
D,2,S9,1.0,0.0,15.0,1552750.5588531494,705298.6693382263,0.45422535211267606,0.9763270617213486
D,3,S1,1.0,0.0,6.0,-8597.309696674347,426283.27246010303,0.010186757215619692,0.754149973445177
D,3,S2,1.0,0.0,12.0,-10687.428245544434,496798.42235147953,0.010873258579680595,0.8789003492015737
D,3,S3,1.0,0.0,13.0,-13271.424150466919,355840.06003439426,0.01900237529691211,0.8731200099601414
D,3,S4,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,3,S5,1.0,0.0,12.0,2031257.6000000006,1583040.0,0.7793398533007334,1.0000000000698654
D,3,S6,1.0,0.0,12.0,1381225.7999420166,627387.7753257751,0.45422535211267606,0.8684769869457472
D,3,S7,1.0,0.0,18.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,3,S8,1.0,0.0,2.0,13515261.813274227,11938147.45838324,0.8833086345880471,0.8922317624715465
D,3,S9,1.0,0.0,12.0,1590400.0,722400.0,0.45422535211267606,1.0000000000698652
D,4,S1,1.0,0.0,12.0,-9690.320992469788,480478.41587662697,0.010186757215619692,0.850028157293581
D,4,S2,1.0,0.0,16.0,-12089.55307006836,561975.3184914589,0.010873258579680595,0.9942066670158737
D,4,S3,1.0,0.0,10.0,-12871.626806259155,345120.4937428236,0.01900237529691211,0.8468175531025298
D,4,S4,1.0,0.0,18.0,682348.3726501465,716851.6273498535,0.9518683457171423,1.000000000069866
D,4,S5,1.0,0.0,9.0,1485028.0381185205,1669168.3133959146,0.889681421699912,0.8726996780051549
D,4,S6,1.0,0.0,15.0,1385449.4012832642,629306.2421321869,0.45422535211267606,0.8711326718939003
D,4,S7,1.0,0.0,16.0,672377.743434906,726822.256565094,0.9250923968846405,1.000000000069866
D,4,S8,1.0,0.0,2.0,12437551.363887032,13206639.896403113,0.9417650107408817,0.8989193440111677
D,4,S9,1.0,0.0,15.0,1460465.983390808,663380.6755542755,0.45422535211267606,0.9183010459587801
