config,scenario,n_seeds,convergence_rate_mean,convergence_rate_ci95_lo,convergence_rate_ci95_hi,mean_rounds_mean,mean_rounds_ci95_lo,mean_rounds_ci95_hi,welfare_dc_mean,welfare_dc_ci95_lo,welfare_dc_ci95_hi,welfare_mfg_mean,welfare_mfg_ci95_lo,welfare_mfg_ci95_hi,shapley_fairness_mean,shapley_fairness_ci95_lo,shapley_fairness_ci95_hi,price_of_anarchy_mean,price_of_anarchy_ci95_lo,price_of_anarchy_ci95_hi
D,S1,10,1.0,1.0,1.0,3.0,1.5692861880586706,4.430713811941329,-6222.925815582275,-6541.949026924849,-5903.902604239702,308553.40502262115,292735.1707935519,324371.6392516904,0.010186757215619692,0.010186757215619692,0.010186757215619692,0.5458706856155311,0.5178861933905431,0.5738551778405191
D,S2,10,1.0,1.0,1.0,4.5,2.469651809781978,6.530348190218022,-6858.035373687744,-7226.317762994059,-6489.752984381429,318791.48807376623,301672.1113833555,335910.86476417695,0.010873258579680595,0.010873258579680595,0.010873258579680595,0.5639831722176725,0.5336967915160239,0.594269552919321
D,S3,10,1.0,1.0,1.0,4.7,1.0360502150548934,8.363949784945106,-9100.946655273438,-10659.554632244812,-7542.338678302063,244019.13219451904,202228.95581197407,285809.308577064,0.01900237529691211,0.01900237529691211,0.01900237529691211,0.598746490520348,0.4962064920282251,0.7012864890124709
D,S4,10,1.0,1.0,1.0,16.3,15.817170888066817,16.782829111933186,782610.2659606934,772227.5662283371,792992.9656930496,608431.7616462708,600359.8456958109,616503.6775967306,0.7774390243902439,0.7774390243902439,0.7774390243902439,0.9941695452431035,0.9809801400943717,1.0073589503918352
D,S5,10,1.0,1.0,1.0,12.9,10.388881009195316,15.411118990804685,1791864.8726251223,1662487.2384335634,1921242.5068166812,1396471.7069664001,1295642.5605151546,1497300.8534176457,0.7793398533007334,0.7793398533007333,0.7793398533007335,0.8821455598493817,0.818452193631036,0.9458389260677273
D,S6,10,1.0,1.0,1.0,16.2,14.01975821819624,18.38024178180376,1446224.905910492,1359420.0790551554,1533029.7327658285,656912.017121315,617483.0640778699,696340.9701647601,0.45422535211267606,0.45422535211267606,0.45422535211267606,0.9093466461340122,0.8547661463469138,0.9639271459211105
D,S7,10,1.0,1.0,1.0,17.6,16.831014432271886,18.368985567728117,787200.0,787200.0,787200.0,612000.0,612000.0,612000.0,0.7774390243902439,0.7774390243902439,0.7774390243902439,1.000000000069866,1.000000000069866,1.000000000069866
D,S8,10,1.0,1.0,1.0,2.2,1.7475685674403592,2.652431432559641,9492814.590536611,8486182.689879162,10499446.49119406,11121401.60713647,9729741.72906687,12513061.48520607,0.7763596455068508,0.6797538689745187,0.8729654220391828,0.7226009786633846,0.6901785519640156,0.7550234053627536
D,S9,10,1.0,1.0,1.0,12.9,10.677143599286389,15.122856400713612,1317874.0928268433,1225021.211858321,1410726.9737953655,598611.8238544464,556435.6913018429,640787.9564070499,0.454225352112676,0.45422535211267595,0.45422535211267606,0.8286431670767838,0.7702598163631209,0.8870265177904466
D,S_AIR_M,10,0.4066666666666667,0.25510401252300213,0.5582293208103313,18.1,17.446874738753404,18.7531252612466,1461509.4978206703,1366041.4842664727,1556977.5113748678,1288882.5051156199,1236582.693440029,1341182.3167912108,0.6968868705448604,0.669622305349849,0.7241514357398718,0.7609755220844147,0.7239499765183255,0.7980010676505038
