step,T_supply,Q_available,Exergy_DT,Q_negotiated,it_load_frac,scenario,t_availability,TWH,ERF
27,48.15876186459667,402117.6571402853,21496.708648698725,361905.8914262568,0.84656348871639,Edge_LC,1.0,48.15876186459667,0.81
28,48.28916324961676,407279.3786306644,21852.28792316923,366551.440767598,0.8574302708013988,Edge_LC,1.0,48.28916324961676,0.8100000000000002
29,48.41055079140381,412084.3021597347,22185.06333066693,370875.8719437613,0.867545899283652,Edge_LC,1.0,48.41055079140381,0.8100000000000002
30,48.93570664794999,432871.7214813542,23644.42964140726,389584.5493332188,0.9113088873291668,Edge_LC,1.0,48.93570664794999,0.8099999999999999
31,48.43576779963928,413082.4754023878,22254.408577189763,371774.227862149,0.8696473166366059,Edge_LC,1.0,48.43576779963928,0.8099999999999999
32,48.51854422874004,416359.0423876276,22482.5573937766,374723.1381488649,0.8765453523950054,Edge_LC,1.0,48.51854422874004,0.8100000000000002
33,48.5504858023084,417623.3963413745,22570.80745706622,375861.056707237,0.8792071501923674,Edge_LC,1.0,48.5504858023084,0.8099999999999998
34,48.99364008224774,435164.91992230585,23807.37800748347,391648.42793007527,0.916136673520644,Edge_LC,1.0,48.99364008224774,0.81
35,49.21206676077867,443810.9759474885,24425.232432158267,399429.8783527396,0.9343388967315548,Edge_LC,1.0,49.21206676077867,0.8099999999999999
36,49.00397876603711,435574.1594889684,23836.49826455249,392016.74354007153,0.9169982305030914,Edge_LC,1.0,49.00397876603711,0.81
37,48.91443719585413,432029.8056692272,23584.70286392998,388826.8251023045,0.9095364329878468,Edge_LC,1.0,48.91443719585413,0.81
38,48.997138535759234,435303.40037380304,23817.23047629796,391773.0603364228,0.9164282113132696,Edge_LC,1.0,48.997138535759234,0.8100000000000002
39,49.42396590690044,452198.6504814749,25029.88859811954,406978.7854333274,0.9519971589083684,Edge_LC,1.0,49.42396590690044,0.81
40,49.51259041959668,455706.7041090355,25284.31590281164,410136.033698132,0.9593825349663904,Edge_LC,1.0,49.51259041959668,0.8100000000000002
41,49.52426167631694,456168.6913542131,25317.8897651786,410551.8222187918,0.9603551396930804,Edge_LC,1.0,49.52426167631694,0.81
42,49.28694887630627,446775.05968712334,24638.31708158336,402097.553718411,0.9405790730255228,Edge_LC,1.0,49.28694887630627,0.81
43,49.54801927025659,457109.0961143225,25386.28003489245,411398.1865028903,0.9623349391880474,Edge_LC,1.0,49.54801927025659,0.8100000000000002
44,49.55861925318754,457528.6787720081,25416.81487440453,411775.8108948073,0.9632182710989644,Edge_LC,1.0,49.55861925318754,0.81
45,49.61395201127005,459718.9337794398,25576.4193907638,413747.0404014958,0.9678293342725048,Edge_LC,1.0,49.61395201127005,0.81
