dc_name,process_name,delta_beta_pct,delta_gamma_pct,delta_delta_pct,beta,gamma,delta,is_match_score
Mid_LC,LowT_60C,-20,10,0,0.32,0.44,0.2,0.5295
Mid_LC,MidT_90C,-20,10,0,0.32,0.44,0.2,0.4551
Hyperscale_LC,HighT_130C,-20,10,0,0.32,0.44,0.2,0.3862
Hyperscale_LC,LowT_60C,-20,10,0,0.32,0.44,0.2,0.5299
Hyperscale_LC,MidT_90C,-20,10,0,0.32,0.44,0.2,0.4557
Edge_LC,HighT_130C,-20,10,10,0.32,0.44,0.22,0.3742
Edge_LC,LowT_60C,-20,10,10,0.32,0.44,0.22,0.5245
Edge_LC,MidT_90C,-20,10,10,0.32,0.44,0.22,0.4467
Mid_LC,HighT_130C,-20,10,10,0.32,0.44,0.22,0.3742
Mid_LC,LowT_60C,-20,10,10,0.32,0.44,0.22,0.5245
Mid_LC,MidT_90C,-20,10,10,0.32,0.44,0.22,0.4467
Hyperscale_LC,HighT_130C,-20,10,10,0.32,0.44,0.22,0.3747
Hyperscale_LC,LowT_60C,-20,10,10,0.32,0.44,0.22,0.5249
Hyperscale_LC,MidT_90C,-20,10,10,0.32,0.44,0.22,0.4472
Edge_LC,HighT_130C,-20,10,20,0.32,0.44,0.24,0.3627
Edge_LC,LowT_60C,-20,10,20,0.32,0.44,0.24,0.5195
Edge_LC,MidT_90C,-20,10,20,0.32,0.44,0.24,0.4382
Mid_LC,HighT_130C,-20,10,20,0.32,0.44,0.24,0.3627
Mid_LC,LowT_60C,-20,10,20,0.32,0.44,0.24,0.5195
Mid_LC,MidT_90C,-20,10,20,0.32,0.44,0.24,0.4382
Hyperscale_LC,HighT_130C,-20,10,20,0.32,0.44,0.24,0.3631
Hyperscale_LC,LowT_60C,-20,10,20,0.32,0.44,0.24,0.5199
Hyperscale_LC,MidT_90C,-20,10,20,0.32,0.44,0.24,0.4388
Edge_LC,HighT_130C,-20,20,-20,0.32,0.48,0.16,0.4389
Edge_LC,LowT_60C,-20,20,-20,0.32,0.48,0.16,0.5696
Edge_LC,MidT_90C,-20,20,-20,0.32,0.48,0.16,0.5022
Mid_LC,HighT_130C,-20,20,-20,0.32,0.48,0.16,0.4389
Mid_LC,LowT_60C,-20,20,-20,0.32,0.48,0.16,0.5696
Mid_LC,MidT_90C,-20,20,-20,0.32,0.48,0.16,0.5022
Hyperscale_LC,HighT_130C,-20,20,-20,0.32,0.48,0.16,0.4396
Hyperscale_LC,LowT_60C,-20,20,-20,0.32,0.48,0.16,0.5703
Hyperscale_LC,MidT_90C,-20,20,-20,0.32,0.48,0.16,0.503
Edge_LC,HighT_130C,-20,20,-10,0.32,0.48,0.18,0.4274
Edge_LC,LowT_60C,-20,20,-10,0.32,0.48,0.18,0.5646
Edge_LC,MidT_90C,-20,20,-10,0.32,0.48,0.18,0.4937
