beta,gamma,delta,dc_name,process_name,is_match_score,tier
0.5,0.3,0.2,Mid_LC,HighT_130C,0.3315,marginal
0.5,0.3,0.2,Mid_LC,LowT_60C,0.5242,marginal
0.5,0.3,0.2,Mid_LC,MidT_90C,0.4404,marginal
0.5,0.3,0.2,Hyperscale_LC,HighT_130C,0.3301,marginal
0.5,0.3,0.2,Hyperscale_LC,LowT_60C,0.523,marginal
0.5,0.3,0.2,Hyperscale_LC,MidT_90C,0.4389,marginal
0.5,0.4,0.1,Edge_LC,HighT_130C,0.4642,marginal
0.5,0.4,0.1,Edge_LC,LowT_60C,0.6245,high_priority
0.5,0.4,0.1,Edge_LC,MidT_90C,0.5573,marginal
0.5,0.4,0.1,Mid_LC,HighT_130C,0.4642,marginal
0.5,0.4,0.1,Mid_LC,LowT_60C,0.6245,high_priority
0.5,0.4,0.1,Mid_LC,MidT_90C,0.5573,marginal
0.5,0.4,0.1,Hyperscale_LC,HighT_130C,0.4633,marginal
0.5,0.4,0.1,Hyperscale_LC,LowT_60C,0.6238,high_priority
0.5,0.4,0.1,Hyperscale_LC,MidT_90C,0.5564,marginal
0.5,0.5,0.0,Edge_LC,HighT_130C,0.5968,marginal
0.5,0.5,0.0,Edge_LC,LowT_60C,0.7248,high_priority
0.5,0.5,0.0,Edge_LC,MidT_90C,0.6743,high_priority
0.5,0.5,0.0,Mid_LC,HighT_130C,0.5968,marginal
0.5,0.5,0.0,Mid_LC,LowT_60C,0.7248,high_priority
0.5,0.5,0.0,Mid_LC,MidT_90C,0.6743,high_priority
0.5,0.5,0.0,Hyperscale_LC,HighT_130C,0.5964,marginal
0.5,0.5,0.0,Hyperscale_LC,LowT_60C,0.7247,high_priority
0.5,0.5,0.0,Hyperscale_LC,MidT_90C,0.6739,high_priority
