step,scenario,T_CabRet_C,T_CabSup_C,T_supply_C,Q_available_kW,Q_EHX1_kW,T_EHX_HotSup_C,T_EHX_HotRet_C,m_flow_kgs,m_flow_HWL_kgs,t_sim_h
95,LC_Frontier_5Cabinet,30.979,28.514,30.979,1469.55,367.39,23.064,25.019,3.5902,109.3298,3.729
96,LC_Frontier_5Cabinet,31.037,28.47,31.037,1470.84,367.71,23.062,25.017,3.7509,109.5687,3.733
97,LC_Frontier_5Cabinet,31.079,28.38,31.079,1472.52,368.13,23.06,25.015,3.9648,109.8526,3.737
98,LC_Frontier_5Cabinet,31.106,28.256,31.106,1474.62,368.65,23.058,25.013,4.2164,110.1823,3.742
99,LC_Frontier_5Cabinet,31.092,28.099,31.092,1477.02,369.25,23.056,25.012,4.4896,110.5474,3.746
100,LC_Frontier_5Cabinet,31.03,27.903,31.03,1479.55,369.89,23.054,25.011,4.7743,110.9285,3.75
101,LC_Frontier_5Cabinet,30.936,27.693,30.936,1481.98,370.49,23.053,25.01,5.0623,111.2978,3.754
102,LC_Frontier_5Cabinet,30.818,27.505,30.818,1483.94,370.99,23.051,25.008,5.3328,111.614,3.758
103,LC_Frontier_5Cabinet,30.683,27.33,30.683,1485.05,371.26,23.049,25.007,5.5598,111.8315,3.763
104,LC_Frontier_5Cabinet,30.529,27.17,30.529,1485.07,371.27,23.047,25.006,5.7352,111.9239,3.767
105,LC_Frontier_5Cabinet,30.364,27.026,30.364,1484.16,371.04,23.046,25.005,5.8671,111.9106,3.771
106,LC_Frontier_5Cabinet,30.19,26.894,30.19,1482.57,370.64,23.044,25.004,5.9638,111.8179,3.775
107,LC_Frontier_5Cabinet,30.023,26.776,30.023,1480.59,370.15,23.042,25.003,6.0311,111.6812,3.779
108,LC_Frontier_5Cabinet,29.871,26.677,29.871,1478.49,369.62,23.04,25.001,6.0737,111.531,3.783
109,LC_Frontier_5Cabinet,29.732,26.594,29.732,1476.45,369.11,23.039,24.999,6.0952,111.3882,3.788
110,LC_Frontier_5Cabinet,29.607,26.524,29.607,1474.53,368.63,23.037,24.998,6.0988,111.2578,3.792
111,LC_Frontier_5Cabinet,29.498,26.469,29.498,1472.76,368.19,23.035,24.996,6.087,111.1426,3.796
112,LC_Frontier_5Cabinet,29.402,26.425,29.402,1471.22,367.8,23.033,24.993,6.0619,111.0544,3.8
113,LC_Frontier_5Cabinet,29.316,26.392,29.316,1469.99,367.5,23.031,24.991,6.0251,111.0015,3.804
